Training on 285 samples. Training 30000 steps.
2019-07-21 13:12:35 step:3380  loss:0.3875 l_f:0.3848 loss_0:0.2675 loss_1:0.5101 
2019-07-21 13:13:03 step:3400  loss:0.3685 l_f:0.4240 loss_0:0.2507 loss_1:0.4307 
2019-07-21 13:13:30 step:3420  loss:0.7624 l_f:0.7744 loss_0:0.7545 loss_1:0.7584 
2019-07-21 13:13:58 step:3440  loss:0.3782 l_f:0.3971 loss_0:0.3089 loss_1:0.4286 
2019-07-21 13:14:25 step:3460  loss:0.3478 l_f:0.3708 loss_0:0.2591 loss_1:0.4134 
2019-07-21 13:14:52 step:3480  loss:0.3928 l_f:0.4491 loss_0:0.3017 loss_1:0.4275 
2019-07-21 13:15:19 step:3500  loss:0.4400 l_f:0.4658 loss_0:0.3485 loss_1:0.5058 
2019-07-21 13:15:47 step:3520  loss:0.4988 l_f:0.4131 loss_0:0.4874 loss_1:0.5960 
2019-07-21 13:16:14 step:3540  loss:0.3418 l_f:0.3832 loss_0:0.2249 loss_1:0.4173 
2019-07-21 13:16:41 step:3560  loss:0.5987 l_f:0.6543 loss_0:0.5944 loss_1:0.5475 
2019-07-21 13:17:08 step:3580  loss:0.4068 l_f:0.4336 loss_0:0.2984 loss_1:0.4883 
2019-07-21 13:17:36 step:3600  loss:0.4538 l_f:0.4250 loss_0:0.3877 loss_1:0.5486 
2019-07-21 13:18:04 step:3620  loss:0.6575 l_f:0.5533 loss_0:0.7159 loss_1:0.7034 
2019-07-21 13:18:32 step:3640  loss:0.3221 l_f:0.3509 loss_0:0.2088 loss_1:0.4066 
2019-07-21 13:18:59 step:3660  loss:0.7147 l_f:0.7428 loss_0:0.7697 loss_1:0.6315 
2019-07-21 13:19:26 step:3680  loss:0.6516 l_f:0.6213 loss_0:0.7781 loss_1:0.5553 
2019-07-21 13:19:53 step:3700  loss:0.6766 l_f:0.5975 loss_0:0.7292 loss_1:0.7031 
2019-07-21 13:20:21 step:3720  loss:0.3782 l_f:0.3707 loss_0:0.3198 loss_1:0.4441 
2019-07-21 13:20:49 step:3740  loss:0.5935 l_f:0.5723 loss_0:0.5003 loss_1:0.7080 
2019-07-21 13:21:16 step:3760  loss:0.3415 l_f:0.3835 loss_0:0.2573 loss_1:0.3835 
2019-07-21 13:21:43 step:3780  loss:0.6150 l_f:0.6008 loss_0:0.5382 loss_1:0.7061 
2019-07-21 13:22:11 step:3800  loss:0.3933 l_f:0.4124 loss_0:0.3348 loss_1:0.4327 
2019-07-21 13:22:39 step:3820  loss:0.4105 l_f:0.4247 loss_0:0.3577 loss_1:0.4492 
2019-07-21 13:23:06 step:3840  loss:0.3741 l_f:0.4050 loss_0:0.2640 loss_1:0.4532 
2019-07-21 13:23:34 step:3860  loss:0.3499 l_f:0.2969 loss_0:0.3147 loss_1:0.4382 
2019-07-21 13:24:02 step:3880  loss:0.2861 l_f:0.2682 loss_0:0.2176 loss_1:0.3724 
2019-07-21 13:24:29 step:3900  loss:0.3127 l_f:0.3402 loss_0:0.1892 loss_1:0.4087 
2019-07-21 13:24:56 step:3920  loss:0.4572 l_f:0.4320 loss_0:0.4133 loss_1:0.5265 
2019-07-21 13:25:24 step:3940  loss:0.4612 l_f:0.3902 loss_0:0.4236 loss_1:0.5699 
2019-07-21 13:25:52 step:3960  loss:0.4090 l_f:0.3953 loss_0:0.3496 loss_1:0.4819 
2019-07-21 13:26:19 step:3980  loss:0.4248 l_f:0.4091 loss_0:0.3746 loss_1:0.4908 
2019-07-21 13:26:46 step:4000  loss:0.6442 l_f:0.6414 loss_0:0.7329 loss_1:0.5582 
2019-07-21 13:27:14 step:4020  loss:0.3887 l_f:0.3988 loss_0:0.2944 loss_1:0.4728 
2019-07-21 13:27:42 step:4040  loss:0.6377 l_f:0.5887 loss_0:0.6480 loss_1:0.6765 
2019-07-21 13:28:09 step:4060  loss:0.2585 l_f:0.1731 loss_0:0.2326 loss_1:0.3697 
2019-07-21 13:28:36 step:4080  loss:0.3473 l_f:0.3772 loss_0:0.2490 loss_1:0.4157 
2019-07-21 13:29:04 step:4100  loss:0.6437 l_f:0.5231 loss_0:0.7783 loss_1:0.6299 
2019-07-21 13:29:31 step:4120  loss:0.3153 l_f:0.2868 loss_0:0.2471 loss_1:0.4120 
2019-07-21 13:29:59 step:4140  loss:0.4787 l_f:0.4383 loss_0:0.4716 loss_1:0.5261 
2019-07-21 13:30:26 step:4160  loss:0.4235 l_f:0.4024 loss_0:0.3397 loss_1:0.5283 
2019-07-21 13:30:54 step:4180  loss:0.5874 l_f:0.6025 loss_0:0.5867 loss_1:0.5730 
2019-07-21 13:31:21 step:4200  loss:0.3594 l_f:0.3669 loss_0:0.2455 loss_1:0.4657 
2019-07-21 13:31:49 step:4220  loss:0.5093 l_f:0.4535 loss_0:0.5533 loss_1:0.5212 
2019-07-21 13:32:17 step:4240  loss:0.3041 l_f:0.2996 loss_0:0.1993 loss_1:0.4133 
2019-07-21 13:32:44 step:4260  loss:0.5411 l_f:0.5189 loss_0:0.5379 loss_1:0.5664 
2019-07-21 13:33:11 step:4280  loss:0.5842 l_f:0.5697 loss_0:0.6199 loss_1:0.5630 
2019-07-21 13:33:38 step:4300  loss:0.3724 l_f:0.3699 loss_0:0.2651 loss_1:0.4822 
2019-07-21 13:34:06 step:4320  loss:0.5694 l_f:0.4978 loss_0:0.5799 loss_1:0.6303 
2019-07-21 13:34:33 step:4340  loss:0.3841 l_f:0.3263 loss_0:0.3221 loss_1:0.5040 
2019-07-21 13:35:01 step:4360  loss:0.3214 l_f:0.3095 loss_0:0.2649 loss_1:0.3898 
2019-07-21 13:35:28 step:4380  loss:0.5106 l_f:0.4452 loss_0:0.3836 loss_1:0.7030 
2019-07-21 13:35:56 step:4400  loss:0.3742 l_f:0.3509 loss_0:0.2965 loss_1:0.4753 
2019-07-21 13:36:24 step:4420  loss:0.5542 l_f:0.5086 loss_0:0.5597 loss_1:0.5942 
2019-07-21 13:36:51 step:4440  loss:0.2902 l_f:0.2673 loss_0:0.2370 loss_1:0.3662 
2019-07-21 13:37:18 step:4460  loss:0.2918 l_f:0.2316 loss_0:0.1853 loss_1:0.4584 
2019-07-21 13:37:45 step:4480  loss:0.2899 l_f:0.2436 loss_0:0.1590 loss_1:0.4671 
2019-07-21 13:38:13 step:4500  loss:0.3187 l_f:0.2909 loss_0:0.2951 loss_1:0.3701 
2019-07-21 13:38:41 step:4520  loss:0.2573 l_f:0.1926 loss_0:0.2165 loss_1:0.3628 
2019-07-21 13:39:08 step:4540  loss:0.2729 l_f:0.2491 loss_0:0.1782 loss_1:0.3913 
2019-07-21 13:39:36 step:4560  loss:0.2584 l_f:0.1614 loss_0:0.1906 loss_1:0.4232 
2019-07-21 13:40:03 step:4580  loss:0.3175 l_f:0.2853 loss_0:0.2437 loss_1:0.4236 
2019-07-21 13:40:31 step:4600  loss:0.3170 l_f:0.2640 loss_0:0.2902 loss_1:0.3969 
2019-07-21 13:40:59 step:4620  loss:0.2852 l_f:0.2306 loss_0:0.1520 loss_1:0.4731 
2019-07-21 13:41:26 step:4640  loss:0.2674 l_f:0.2311 loss_0:0.2126 loss_1:0.3585 
2019-07-21 13:41:54 step:4660  loss:0.4566 l_f:0.4114 loss_0:0.4352 loss_1:0.5231 
2019-07-21 13:42:21 step:4680  loss:0.2963 l_f:0.2328 loss_0:0.3001 loss_1:0.3561 
2019-07-21 13:42:49 step:4700  loss:0.3247 l_f:0.2553 loss_0:0.2759 loss_1:0.4429 
2019-07-21 13:43:16 step:4720  loss:0.5929 l_f:0.4835 loss_0:0.6719 loss_1:0.6234 
2019-07-21 13:43:44 step:4740  loss:0.2747 l_f:0.2054 loss_0:0.2399 loss_1:0.3788 
2019-07-21 13:44:11 step:4760  loss:0.2992 l_f:0.2058 loss_0:0.2698 loss_1:0.4220 
